,Data,Positive Score,Negative Score,Neutral Score,Change in SPY,predicted_change,true_change
364,6/14/21,3.01220113,12.02886167,24.12525231,0.950012207,0.46647036,4.480010986
365,6/15/21,8.92929092,13.35768768,39.77096727,-0.779998779,0.4866836,4.369995117
366,6/16/21,5.928531885,16.02181,41.04925129,-2.370025635,0.17657018,-1.619995117
367,6/17/21,7.340073049,22.733201,43.65921238,-0.139984131,0.31915313,-8.339996338
368,6/18/21,10.18570793,15.94312564,57.50027448,-7.049987793,0.15922393,7.959991455
369,6/21/21,2.181448877,6.558961332,23.18421274,5.939971924,0.30453807,-15.25
370,6/22/21,5.87216273,21.79608065,30.74159503,2.25,0.57652223,-8.220001221
371,6/23/21,5.143869162,13.76030293,37.43083876,-0.509979248,0.27598378,-7.049987793
372,6/24/21,4.61952126,13.05246097,47.447487,2.5,0.2885788,7.940002441
373,6/25/21,7.157439828,10.68681672,50.73701769,1.509979248,0.38833272,0.149993896
374,6/28/21,2.952086151,9.092425078,24.87603688,0.860015869,1.5828723,1.16998291
375,6/29/21,7.333695233,12.26056442,36.03524691,0.230010986,0.26382256,-2.900024414
376,6/30/21,10.39643934,15.33946678,33.68822715,0.359985352,0.6266253,-1.220001221
377,7/1/21,5.850544542,21.92544511,47.41250595,2.369995117,0.20440114,-4.16998291
378,7/2/21,14.69166911,17.10380453,63.33178607,3.290008545,0.26962,-0.309997559
379,7/6/21,5.156543314,16.24798834,22.48806545,-0.790008545,0.12886032,-2.929992676
380,7/7/21,10.27936098,20.11527157,36.72120929,1.529998779,0.35170996,1.25
381,7/8/21,10.68332678,13.73880512,45.12863809,-3.539978027,0.25043064,-12.01998901
382,7/9/21,8.259833336,10.95901644,56.84974509,4.599975586,0.27320546,6.390014648
383,7/12/21,2.475154579,4.076616585,25.03975657,1.559997559,0.17898276,4.459991455
384,7/13/21,7.529954612,17.25063819,47.50954959,-1.489990234,0.29064834,-4.860015869
385,7/14/21,11.76575285,21.77643514,41.21272793,0.649993896,0.2318879,6.220001221
386,7/15/21,10.35232985,11.65225503,44.34916675,-1.489990234,0.19661939,1.390014648
387,7/16/21,7.100636244,24.3061384,51.62699991,-3.410003662,0.65031815,-2.809997559
388,7/19/21,2.932169974,10.64049214,21.83994764,-6.369995117,0.21061644,0.160003662
389,7/20/21,9.023836553,23.15028161,40.5779978,6.089996338,0.3081841,-0.91998291
390,7/21/21,4.89080748,15.25186795,45.89514637,3.489990234,0.26926818,-3.029998779
391,7/22/21,8.792754471,17.5648945,40.50935316,0.910003662,0.5274755,1.320007324
