Data,Positive Score,Negative Score,Neutral Score,Change in SPY
1/2/20,1.441279113,6.204747558,17.41888815,0
1/3/20,7.862580925,13.49848878,49.66567808,-2.459991455
1/6/20,2.895552993,13.02082062,16.37839562,1.230010986
1/7/20,4.684693038,20.04948011,53.75217164,-0.910003662
1/8/20,11.33375168,27.58697197,48.33519149,1.720001221
1/9/20,5.04342559,23.70010743,50.1121524,2.199981689
1/10/20,10.80350727,19.68207344,53.0993591,-0.940002441
1/13/20,1.253433287,5.753696322,22.90798363,2.240020752
1/14/20,9.104186356,21.64599577,44.67999616,-0.5
1/15/20,17.22144717,27.55854765,35.53738409,0.739990234
1/16/20,10.3178919,29.30385298,45.86533242,2.730010986
1/17/20,11.67086589,19.43857041,64.41233432,1.029998779
1/21/20,4.883192062,14.78305513,27.95823008,-0.650024414
1/22/20,5.81872046,24.52298582,34.23385552,0.040008545
1/23/20,8.938915908,29.58187312,52.17354205,0.380004883
1/24/20,11.25405088,27.83018911,37.54424962,-2.950012207
1/27/20,1.74448216,5.987320691,21.39288363,-5.269989014
1/28/20,7.250543952,21.2731266,33.24117094,3.390014648
1/29/20,12.32665384,32.72655374,42.88647714,-0.270019531
1/30/20,12.91633427,32.27732024,45.01387519,1.059997559
1/31/20,17.05112472,32.46641433,58.41894072,-5.949981689
2/3/20,2.388460219,11.1759907,21.01464403,2.389984131
2/4/20,5.933728427,22.8961218,42.90744245,4.940002441
2/5/20,8.113678157,27.38114345,54.04223105,3.799987793
2/6/20,12.8866556,25.22478843,47.42811462,1.120025635
2/7/20,15.21022794,35.18535769,59.92813861,-1.779998779
2/10/20,1.325969219,13.21649918,19.6747514,2.479980469
2/11/20,9.048149705,17.31585184,50.37918574,0.58001709
2/12/20,7.084053963,31.81578496,52.65645272,2.160003662
2/13/20,10.65677032,24.73381138,49.19121101,-0.360015869
2/14/20,13.39741439,31.19514,57.90447852,0.540008545
2/18/20,6.133964181,12.84827366,23.86075765,-0.869995117
2/19/20,6.60187766,28.33535248,38.4403519,1.609985352
2/20/20,7.783988953,23.65511379,46.87586054,-1.389984131
2/21/20,7.287850618,31.43121663,50.82319143,-3.470001221
2/24/20,3.325939536,11.87035096,20.52442527,-11.05999756
2/25/20,5.630789727,23.13945013,40.79722959,-9.770019531
2/26/20,8.242827833,31.74406627,43.21123931,-1.149993896
2/27/20,6.461906254,26.9317885,33.32674015,-13.98999023
2/28/20,13.47233939,37.61042798,53.06805179,-1.25
3/2/20,5.05033344,11.14048707,32.79561067,12.82998657
3/3/20,3.656495094,24.40138334,50.324402,-8.850006104
3/4/20,10.48774835,30.82914063,60.28397971,12.61999512
3/5/20,5.675155461,32.28208011,45.0981696,-10.3999939
3/6/20,7.934413731,32.97990549,53.02896202,-5
3/9/20,0.871694744,13.96590605,31.1641196,-23.22998047
3/10/20,7.122900784,30.92624494,55.86178961,14.19000244
3/11/20,7.729095459,31.63444018,54.52438557,-14.06002808
3/12/20,11.65686485,26.46349603,53.84954217,-26.24998474
3/13/20,12.11753881,45.16239953,59.29035112,21.21000671
3/16/20,3.285803795,17.97480977,30.17796344,-29.47000122
3/17/20,8.475613743,35.31990823,52.91645679,12.94999695
3/18/20,5.15774703,40.99664849,50.93258232,-12.80000305
3/19/20,7.541035205,49.04573017,48.35039234,0.509994507
3/20/20,8.018556654,35.99779159,54.26768252,-11.70999146
3/23/20,3.268947303,16.76518321,30.6308406,-5.850006104
3/24/20,3.749201655,29.17284852,44.75358844,20.19999695
3/25/20,8.009169221,42.07355845,54.3810026,3.63999939
3/26/20,7.525453091,34.16734898,48.97386029,14.41001892
3/27/20,10.17212883,33.47648534,50.29046798,-7.780014038
3/30/20,3.536055595,13.41465041,30.0628773,8.229995728
3/31/20,3.593405515,27.76246184,56.87284982,-3.899993896
4/1/20,10.83612132,30.4672277,50.43165171,-11.6000061
4/2/20,6.607466996,36.41697851,55.16256526,5.680007935
4/3/20,8.89497003,33.86472303,56.42419165,-3.63999939
4/6/20,1.017314494,18.39174005,24.04641023,16.66998291
4/7/20,8.898660958,28.72449172,49.14854085,0.270019531
4/8/20,7.740440011,30.32758147,47.60181928,8.899993896
4/9/20,6.639959037,38.83153644,48.7903828,4.170013428
4/13/20,2.609450698,12.83195096,26.26727432,-2.540008545
4/14/20,8.431031287,25.50937262,44.42294106,8.130004883
4/15/20,5.406852305,33.85000709,46.11822569,-6.029998779
4/16/20,8.833116114,33.40025258,54.99518874,1.339996338
4/17/20,7.613133788,29.10808384,62.65772772,7.540008545
4/20/20,3.742595971,11.46413922,20.78508621,-5.050018311
4/21/20,5.239389181,29.69511145,47.31744426,-8.549987793
4/22/20,5.148396015,38.2172147,55.12741518,6.059997559
4/23/20,8.622755349,25.76146081,56.69153273,-0.020019531
4/24/20,8.085112631,36.67958623,50.51125398,3.890014648
4/27/20,3.05748713,12.09097508,28.1335116,4.079986572
4/28/20,7.958229065,20.40212572,47.87901872,-1.319976807
4/29/20,13.09496871,30.31618607,53.6166119,7.479980469
4/30/20,7.944064945,39.64287865,45.99828398,-2.729980469
5/1/20,16.3065114,37.31515026,54.83804941,-7.690002441
5/4/20,2.766238868,8.651795208,27.84118304,0.779998779
5/5/20,14.25549108,21.32070175,51.97236323,2.619995117
5/6/20,9.958777338,37.54217061,44.48427382,-1.940002441
5/7/20,10.10827205,32.95359579,49.33508694,3.429992676
5/8/20,9.767995954,35.39509481,51.46537435,4.760009766
5/11/20,4.093844742,10.51521283,22.89099133,0.059997559
5/12/20,10.48603004,24.39656413,48.02479765,-5.829986572
5/13/20,11.16603753,34.64022291,41.73015568,-5.070007324
5/14/20,5.928541183,30.03248775,54.02806571,3.369995117
5/15/20,5.681572735,25.52721545,57.05980977,1.309997559
5/18/20,1.58055073,7.815835446,30.24897337,8.720001221
5/19/20,5.269798219,18.64658535,45.1086674,-3.029998779
5/20/20,8.05986917,32.94894224,47.50469351,4.959991455
5/21/20,3.178046644,32.43575811,48.61168188,-2.049987793
5/22/20,9.246726334,32.92614859,46.6667017,0.559997559
5/26/20,5.404506296,18.06119785,20.19689327,3.639984131
5/27/20,7.680328429,20.39393324,48.08931369,4.450012207
5/28/20,5.971692741,20.56940174,52.68668634,-0.559997559
5/29/20,4.19105643,29.89258051,52.60545531,1.350006104
6/1/20,5.879388809,9.341174781,24.21966478,1.229980469
6/2/20,7.581354916,20.75504497,39.92693737,2.529998779
6/3/20,5.88461116,21.42516232,44.26594469,4.100006104
6/4/20,13.04849672,30.27380416,44.3885127,-0.820007324
6/5/20,6.707711607,26.05430862,54.16128826,7.980010986
6/8/20,1.72841692,12.90823925,24.63802117,3.860015869
6/9/20,9.244778097,26.17993036,44.0673888,-2.410003662
6/10/20,11.10103303,27.37700042,34.67005271,-1.790008545
6/11/20,7.504367828,29.51050073,50.22831637,-18.39001465
6/12/20,7.308072448,27.08029225,47.84877086,3.600006104
6/15/20,1.278056532,6.633538246,26.139552,2.839996338
6/16/20,7.636104971,35.48190975,33.68993288,5.910003662
6/17/20,7.799434721,35.92633235,39.888616,-1.299987793
6/18/20,6.59183526,28.0860616,38.33657205,0.119995117
6/19/20,10.88960934,35.44234306,56.22443095,-3.139984131
6/22/20,0.852465272,17.6055547,24.15556008,1.979980469
6/23/20,4.98832199,25.84074855,40.37202114,1.429992676
6/24/20,8.644717991,18.04412013,52.86376542,-7.959991455
6/25/20,7.226126373,29.44249111,50.69231656,3.260009766
6/26/20,11.4737497,28.94031769,53.08504239,-7.300018311
6/29/20,3.630077451,10.48417869,29.12068444,4.410003662
6/30/20,4.39717257,25.76436731,35.36944437,3.899993896
7/1/20,9.494098306,39.79864797,57.91990909,2.160003662
7/2/20,10.81035087,33.22058859,51.95311546,1.710021973
7/6/20,0.808060825,8.299874991,28.64994097,4.819976807
7/7/20,7.104112566,19.76986229,50.2149694,-3.269989014
7/8/20,7.488641202,29.89062884,48.72418544,2.399993896
7/9/20,9.654173225,28.21003777,50.31662667,-1.799987793
7/10/20,13.75304189,27.68942744,56.53543994,3.209991455
7/13/20,5.095856667,11.83926314,29.22695798,-2.75
7/14/20,7.608590931,18.01567996,42.31302768,4.08001709
7/15/20,8.26410985,29.47619811,43.73074323,2.929992676
7/16/20,8.794509113,30.81515503,49.79465765,-1.059997559
7/17/20,10.68867356,23.39575425,52.30307159,0.929992676
7/20/20,2.803385913,10.8891837,22.6658985,2.600006104
7/21/20,5.166376919,19.64222637,38.90519571,0.690002441
7/22/20,11.51108521,22.5134083,49.67002207,1.849975586
7/23/20,10.63609934,24.97912419,46.84388974,-3.899993896
7/24/20,9.804053813,31.42133656,49.92035985,-2.079986572
7/27/20,1.660988808,12.65077132,22.96277729,2.339996338
7/28/20,7.031391919,16.62672281,41.65837637,-2.049987793
7/29/20,9.674080044,32.87868655,48.88445157,3.949981689
7/30/20,12.58092988,35.76756674,37.70691445,-1.160003662
7/31/20,14.67814749,40.83425391,47.78045362,2.559997559
8/3/20,3.546957165,12.36871111,22.19669968,2.270019531
8/4/20,9.978270888,22.56435114,44.55766773,1.269989014
