,Dates,Score,Change in SPY,predicted_change,true_change
366,6/16/21,2.51995,-2.370025635,1.5058583,-23.078096989487932
367,6/17/21,3.6016434,-0.139984131,1.5087408,-3.099880413709948
368,6/18/21,1.386856,-7.049987793,1.514269,-65.00435593635697
369,6/21/21,0.2501557,5.939971924,1.5209261,51.368468547566934
370,6/22/21,1.7396,2.25,1.5303562,18.3112101405
371,6/23/21,2.89425456,-0.509979248,1.5317063,-6.414546336361007
372,6/24/21,1.632206,2.5,1.5272292,20.550878835
373,6/25/21,-0.040326597,1.509979248,1.5261135,11.681604894361007
374,6/28/21,0.5211,0.860015869,1.5201975,5.858794364290052
375,6/29/21,2.2914573,0.230010986,1.5222547,0.21478550894111093
376,6/30/21,1.767723,0.359985352,1.5121192,1.3791835834118513
377,7/1/21,2.19770105,2.369995117,1.506505,19.38620736865106
378,7/2/21,2.899865003,3.290008545,1.4975475,27.628308461495976
379,7/6/21,2.434723456,-0.790008545,1.4987329,-8.923237736495977
380,7/7/21,2.71718078,1.529998779,1.5054194,11.860953361798096
381,7/8/21,2.48504,-3.539978027,1.5073172,-33.5593199751591
382,7/9/21,2.482962,4.599975586,1.5060211,39.363877151713965
383,7/12/21,0.03333001,1.559997559,1.5106895,12.129702675554865
384,7/13/21,1.550262,-1.489990234,1.5211755,-15.194146038802117
385,7/14/21,3.6383,0.649993896,1.5276377,3.9772758119491547
386,7/15/21,4.00189089,-1.489990234,1.5262579,-15.194146038802117
387,7/16/21,1.01495625,-3.410003662,1.5273758,-32.39492190964703
388,7/19/21,1.2865,-6.369995117,1.527286,-58.91252270065105
389,7/20/21,1.142334611,6.089996338,1.5245758,52.71248848135295
390,7/21/21,1.730602,3.489990234,1.523247,29.419879374802115
391,7/22/21,2.649428457,0.910003662,1.5201163,6.306618744647037
392,7/23/21,2.292955,4.480010986,1.5176109,38.28915331544111
393,7/26/21,1.01475,1.079986572,1.5152785,7.829440353155079
394,7/27/21,-0.311917,-2.009979248,1.5221701,-19.852558503361006
395,7/28/21,2.687445,-0.180023193,1.521773,-3.458577348584126
396,7/29/21,3.921454349,1.820007324,1.512705,14.459045599294074
397,7/30/21,1.552493,-2.139984131,1.5033619,-21.017229969709945
398,8/2/21,0.240101,-0.920013428,1.5069593,-10.087909202844918
399,8/3/21,1.9213,3.559997559,1.509475,30.047052231554865
400,8/4/21,3.2517077,-2.16998291,1.5121286,-21.28597927450804
401,8/5/21,1.910684,2.779998779,1.512504,23.059296834298095
402,8/6/21,1.369939438,0.729980469,1.5098282,4.693849506062911
403,8/9/21,1.489593,-0.359985352,1.5090224,-5.070799803411852
404,8/10/21,2.910651214,0.549987793,1.5130517,3.0813536593569846
405,8/11/21,2.666252857,1.100006104,1.5217137,8.008788829550843
406,8/12/21,1.038512,1.329986572,1.5187216,10.069109047655079
407,8/13/21,2.259206,0.810028076,1.5115633,5.410969983933067
408,8/16/21,0.0501,1.049987793,1.5140829,7.560691048356983
