Dates,Score,Change in SPY
1/2/20,2.42966,0
1/3/20,0.491360456,-2.459991455
1/6/20,0.7474,1.230010986
1/7/20,4.565336307,-0.910003662
1/8/20,1.383857,1.720001221
1/9/20,2.43842167,2.199981689
1/10/20,2.731166757,-0.940002441
1/13/20,0.78005,2.240020752
1/14/20,2.5568234,-0.5
1/15/20,2.9883,0.739990234
1/16/20,1.715981,2.730010986
1/17/20,2.564204,1.029998779
1/21/20,2.0217,-0.650024414
1/22/20,1.74887839,0.040008545
1/23/20,1.850809,0.380004883
1/24/20,1.48490689,-2.950012207
1/27/20,1.5734,-5.269989014
1/28/20,0.5303895,3.390014648
1/29/20,7.112866668,-0.270019531
1/30/20,2.294015,1.059997559
1/31/20,4.64906129,-5.949981689
2/3/20,1.0057,2.389984131
2/4/20,0.798947,4.940002441
2/5/20,2.330863,3.799987793
2/6/20,5.853444719,1.120025635
2/7/20,3.6016257,-1.779998779
2/10/20,0.94946789,2.479980469
2/11/20,3.7878404,0.58001709
2/12/20,0.780801,2.160003662
2/13/20,4.52925,-0.360015869
2/14/20,2.2617136,0.540008545
2/18/20,-0.222099,-0.869995117
2/19/20,0.7506,1.609985352
2/20/20,2.240703,-1.389984131
2/21/20,1.906011,-3.470001221
2/24/20,0.688433,-11.05999756
2/25/20,2.7811701,-9.770019531
2/26/20,3.543206,-1.149993896
2/27/20,0.8338385,-13.98999023
2/28/20,2.614571,-1.25
3/2/20,1.1908,12.82998657
3/3/20,-0.31395211,-8.850006104
3/4/20,3.419224,12.61999512
3/5/20,3.552275348,-10.3999939
3/6/20,2.544101,-5
3/9/20,0.748011,-23.22998047
3/10/20,3.780692757,14.19000244
3/11/20,1.941229,-14.06002808
3/12/20,1.50873711,-26.24998474
3/13/20,0.744785,21.21000671
3/16/20,0.9627,-29.47000122
3/17/20,0.304873,12.94999695
3/18/20,3.641603,-12.80000305
3/19/20,1.63841669,0.509994507
3/20/20,1.04025,-11.70999146
3/23/20,0.70256789,-5.850006104
3/24/20,-0.7508368,20.19999695
3/25/20,2.748051457,3.63999939
3/26/20,2.18065944,14.41001892
3/27/20,1.491242,-7.780014038
3/30/20,0.0783,8.229995728
3/31/20,4.23823134,-3.899993896
4/1/20,0.535958,-11.6000061
4/2/20,1.281976,5.680007935
4/3/20,4.8650368,-3.63999939
4/6/20,0.113501,16.66998291
4/7/20,4.323735,0.270019531
4/8/20,2.4513072,8.899993896
4/9/20,1.7133075,4.170013428
4/13/20,0.63005,-2.540008545
4/14/20,-0.3376744,8.130004883
4/15/20,0.14861507,-6.029998779
4/16/20,2.062150123,1.339996338
4/17/20,2.124094,7.540008545
4/20/20,0.718503,-5.050018311
4/21/20,2.5415234,-8.549987793
4/22/20,2.219426454,6.059997559
4/23/20,1.818107,-0.020019531
4/24/20,0.923558,3.890014648
4/27/20,-0.13679,4.079986572
4/28/20,0.764476544,-1.319976807
4/29/20,2.945918,7.479980469
4/30/20,0.482511,-2.729980469
5/1/20,4.1492646,-7.690002441
5/4/20,0.7021,0.779998779
5/5/20,0.8563508,2.619995117
5/6/20,5.13108729,-1.940002441
5/7/20,-0.667977,3.429992676
5/8/20,1.08436909,4.760009766
5/11/20,0.616124,0.059997559
5/12/20,-0.74629,-5.829986572
5/13/20,0.898418,-5.070007324
5/14/20,0.2361644,3.369995117
5/15/20,1.565855457,1.309997559
5/18/20,0.840006,8.720001221
5/19/20,2.272702,-3.029998779
5/20/20,1.40406,4.959991455
5/21/20,2.8614123,-2.049987793
5/22/20,3.270881757,0.559997559
5/26/20,-0.3762,3.639984131
5/27/20,2.53566429,4.450012207
5/28/20,0.91896789,-0.559997559
5/29/20,1.663902,1.350006104
6/1/20,0.893003,1.229980469
6/2/20,0.9534795,2.529998779
6/3/20,1.780903,4.100006104
6/4/20,1.869529,-0.820007324
6/5/20,2.080112,7.980010986
6/8/20,1.3145013,3.860015869
6/9/20,3.74953945,-2.410003662
6/10/20,3.188501,-1.790008545
6/11/20,1.9825462,-18.39001465
6/12/20,1.969464,3.600006104
6/15/20,1.131,2.839996338
6/16/20,1.861805,5.910003662
6/17/20,2.727090679,-1.299987793
6/18/20,0.9593303,0.119995117
